    0.74505E-04    0.31444E+03
    0.10398E-03    0.43320E+03
    0.14512E-03    0.59673E+03
    0.20252E-03    0.82182E+03
    0.28265E-03    0.11313E+04
    0.39446E-03    0.15561E+04
    0.55052E-03    0.21371E+04
    0.76831E-03    0.29278E+04
    0.10723E-02    0.39951E+04
    0.14965E-02    0.54180E+04
    0.20885E-02    0.72799E+04
    0.29147E-02    0.96487E+04
    0.40678E-02    0.12541E+05
    0.44213E-02    0.13338E+05
    0.48055E-02    0.14160E+05
    0.52232E-02    0.15002E+05
    0.56771E-02    0.15861E+05
    0.61704E-02    0.16731E+05
    0.67067E-02    0.17603E+05
    0.72895E-02    0.18471E+05
    0.79230E-02    0.19325E+05
    0.86116E-02    0.20153E+05
    0.93599E-02    0.20944E+05
    0.10173E-01    0.21684E+05
    0.11057E-01    0.22358E+05
    0.12018E-01    0.22949E+05
    0.13063E-01    0.23438E+05
    0.14198E-01    0.23808E+05
    0.15432E-01    0.24039E+05
    0.16773E-01    0.24113E+05
    0.18231E-01    0.24013E+05
    0.19815E-01    0.23725E+05
    0.21537E-01    0.23241E+05
    0.23409E-01    0.22559E+05
    0.25443E-01    0.21687E+05
    0.27654E-01    0.20643E+05
    0.30057E-01    0.19461E+05
    0.32669E-01    0.18184E+05
    0.35508E-01    0.16866E+05
    0.38594E-01    0.15570E+05
    0.41948E-01    0.14355E+05
    0.45594E-01    0.13270E+05
    0.49556E-01    0.12345E+05
    0.53863E-01    0.11580E+05
    0.58544E-01    0.10935E+05
    0.63511E-01    0.10346E+05
    0.68478E-01    0.97566E+04
    0.73444E-01    0.91075E+04
    0.78411E-01    0.83909E+04
    0.83378E-01    0.76372E+04
    0.88345E-01    0.68973E+04
    0.93312E-01    0.62236E+04
    0.98279E-01    0.56536E+04
    0.10325E+00    0.52028E+04
    0.10821E+00    0.48655E+04
    0.11318E+00    0.46196E+04
    0.11815E+00    0.44339E+04
    0.12311E+00    0.42746E+04
    0.12808E+00    0.41128E+04
    0.13305E+00    0.39292E+04
    0.13802E+00    0.37177E+04
    0.14298E+00    0.34838E+04
    0.14795E+00    0.32415E+04
    0.15292E+00    0.30077E+04
    0.15788E+00    0.27971E+04
    0.16285E+00    0.26190E+04
    0.16782E+00    0.24765E+04
    0.17278E+00    0.23663E+04
    0.17775E+00    0.22810E+04
    0.18272E+00    0.22106E+04
    0.18768E+00    0.21453E+04
    0.19265E+00    0.20767E+04
    0.19762E+00    0.20001E+04
    0.20259E+00    0.19144E+04
    0.20755E+00    0.18220E+04
    0.21252E+00    0.17274E+04
    0.21749E+00    0.16359E+04
    0.22618E+00    0.14959E+04
    0.23523E+00    0.13866E+04
    0.24464E+00    0.13051E+04
    0.25442E+00    0.12343E+04
    0.26460E+00    0.11563E+04
    0.27518E+00    0.10663E+04
    0.28619E+00    0.97513E+03
    0.29763E+00    0.89724E+03
    0.30954E+00    0.83602E+03
    0.32192E+00    0.78222E+03
    0.33479E+00    0.72559E+03
    0.34818E+00    0.66635E+03
    0.36211E+00    0.61240E+03
    0.37659E+00    0.56735E+03
    0.39165E+00    0.52655E+03
    0.40732E+00    0.48547E+03
    0.42361E+00    0.44599E+03
    0.44055E+00    0.41125E+03
    0.55018E+00    0.25725E+03
    0.68709E+00    0.15840E+03
    0.85807E+00    0.96290E+02
    0.10716E+01    0.57857E+02
    0.13383E+01    0.34402E+02
    0.16713E+01    0.20265E+02
    0.20872E+01    0.11836E+02
    0.26066E+01    0.68597E+01
    0.32552E+01    0.39480E+01
    0.40653E+01    0.22577E+01
    0.50769E+01    0.12836E+01
    0.63403E+01    0.72593E+00
    0.79181E+01    0.40853E+00
    0.98885E+01    0.22887E+00
    0.12349E+02    0.12769E+00
    0.15422E+02    0.70965E-01
    0.19260E+02    0.39297E-01
    0.24053E+02    0.21688E-01
    0.30039E+02    0.11931E-01
    0.37514E+02    0.65432E-02
    0.46849E+02    0.35777E-02
    0.58507E+02    0.19502E-02
    0.73067E+02    0.10597E-02
    0.91250E+02    0.57378E-03
    0.11396E+03    0.30939E-03
    0.14231E+03    0.16598E-03
    0.17773E+03    0.88452E-04
    0.22196E+03    0.46724E-04
    0.27719E+03    0.24392E-04
    0.34617E+03    0.12540E-04
    0.43231E+03    0.63258E-05
    0.53990E+03    0.31267E-05
