0.0   1261.61625 2343.256531 1260.655385 2224.658289 1712.615086
0.2   38432.020569 38880.975683 27629.968831 10512.046286 1241.456618
0.4  138359.091644 118566.041718 20212.425537 4022.625507 226.061412
0.6 277698.746017 126975.904764 10883.973161 1289.700234 11.346336
0.8 531530.99737 94333.042601 4680.087511 352.757307 1.687834
1.0 521064.863348 65025.874208 2760.509729 290.897285 0
1.2 636976.652207 42309.644824 1226.718567 24.291457 0
1.4 599269.801978 23759.884216 311.121847 10.916556 0
1.6 616022.689495 15275.407447 113.333668 0 0
1.8 652369.42003 8915.508347 17.875706 0 0
2.0 639570.702986 5085.32892 0 0 0

