    0.12830E-04    0.57941E+02
    0.15671E-04    0.70227E+02
    0.19141E-04    0.85119E+02
    0.23379E-04    0.10317E+03
    0.28555E-04    0.12505E+03
    0.34877E-04    0.15156E+03
    0.42598E-04    0.18370E+03
    0.52030E-04    0.22265E+03
    0.63549E-04    0.26986E+03
    0.77619E-04    0.32706E+03
    0.94804E-04    0.39639E+03
    0.11579E-03    0.48040E+03
    0.14143E-03    0.58218E+03
    0.17275E-03    0.70546E+03
    0.21099E-03    0.85476E+03
    0.25771E-03    0.10355E+04
    0.31476E-03    0.12541E+04
    0.38445E-03    0.15183E+04
    0.46957E-03    0.18373E+04
    0.57353E-03    0.22218E+04
    0.70052E-03    0.26841E+04
    0.85561E-03    0.32386E+04
    0.10450E-02    0.39012E+04
    0.12764E-02    0.46894E+04
    0.15590E-02    0.56215E+04
    0.19042E-02    0.67154E+04
    0.23258E-02    0.79870E+04
    0.28407E-02    0.94471E+04
    0.34697E-02    0.11098E+05
    0.42379E-02    0.12929E+05
    0.51762E-02    0.14910E+05
    0.63222E-02    0.16985E+05
    0.77219E-02    0.19063E+05
    0.94316E-02    0.21014E+05
    0.11520E-01    0.22660E+05
    0.14070E-01    0.23774E+05
    0.17185E-01    0.24103E+05
    0.20990E-01    0.23412E+05
    0.25638E-01    0.21598E+05
    0.31314E-01    0.18842E+05
    0.38247E-01    0.15708E+05
    0.46715E-01    0.12983E+05
    0.57058E-01    0.11125E+05
    0.69690E-01    0.96047E+04
    0.85120E-01    0.73733E+04
    0.10397E+00    0.51473E+04
    0.12698E+00    0.41499E+04
    0.15510E+00    0.29116E+04
    0.18944E+00    0.21218E+04
    0.23138E+00    0.14287E+04
    0.28261E+00    0.10035E+04
    0.34518E+00    0.67927E+03
    0.42160E+00    0.45054E+03
    0.51495E+00    0.29640E+03
    0.62896E+00    0.19240E+03
    0.76821E+00    0.12356E+03
    0.93829E+00    0.78554E+02
    0.11460E+01    0.49498E+02
    0.13998E+01    0.30933E+02
    0.17097E+01    0.19188E+02
    0.20882E+01    0.11822E+02
    0.25505E+01    0.72379E+01
    0.31152E+01    0.44062E+01
    0.38050E+01    0.26682E+01
    0.46474E+01    0.16080E+01
    0.56763E+01    0.96473E+00
    0.69331E+01    0.57640E+00
    0.84681E+01    0.34307E+00
    0.10343E+02    0.20347E+00
    0.12633E+02    0.12027E+00
    0.15430E+02    0.70874E-01
    0.18846E+02    0.41642E-01
    0.23019E+02    0.24400E-01
    0.28115E+02    0.14260E-01
    0.34340E+02    0.83125E-02
    0.41943E+02    0.48338E-02
    0.51229E+02    0.28040E-02
    0.62571E+02    0.16225E-02
    0.76425E+02    0.93636E-03
    0.93345E+02    0.53879E-03
    0.11401E+03    0.30897E-03
    0.13925E+03    0.17645E-03
    0.17009E+03    0.10024E-03
    0.20774E+03    0.56566E-04
    0.25374E+03    0.31642E-04
    0.30992E+03    0.17501E-04
    0.37853E+03    0.95459E-05
    0.46234E+03    0.51235E-05
    0.56471E+03    0.27051E-05
    0.68973E+03    0.14089E-05
    0.84244E+03    0.72789E-06
    0.10290E+04    0.37509E-06
    0.12568E+04    0.19353E-06
    0.15350E+04    0.10039E-06
    0.18749E+04    0.52549E-07
    0.22900E+04    0.27820E-07
    0.27970E+04    0.14894E-07
    0.34163E+04    0.80429E-08
    0.41727E+04    0.43682E-08
    0.50965E+04    0.23884E-08
